"link","showname","seasons","episodes","rating","poster"
"https://seriesgraph.com/show/9907-chowder","Chowder","3","28","7.3","https://image.tmdb.org/t/p/w400/4H5diUE5bKp9dxcisJ3wbZzvAg7.jpg"
"https://seriesgraph.com/show/114922-citadel","Citadel","2","7","6.2","https://image.tmdb.org/t/p/w400/rIuJpbBcZjROIqvu9OKr3psP0zv.jpg"
"https://seriesgraph.com/show/34791-claymore","Claymore","","26","8.0","https://image.tmdb.org/t/p/w400/rQt8X4kjBxah0laGwUVJISf1086.jpg"
"https://seriesgraph.com/show/84503-close-enough","Close Enough","3","8","7.8","https://image.tmdb.org/t/p/w400/8aNYMcMyhv1m0MKibgCVmJrAeLs.jpg"
"https://seriesgraph.com/show/58474-cosmos","Cosmos","1","13","9.2","https://image.tmdb.org/t/p/w400/5o07ps0QZ0bNoRYxTn9cPdRWlUu.jpg"
"https://seriesgraph.com/show/63646-counterpart","Counterpart","2","10","8.0","https://image.tmdb.org/t/p/w400/fVTpkoTkl7LJSoVCnuoHRPJvS4o.jpg"
"https://seriesgraph.com/show/84469-cowboy-bebop","Cowboy Bebop","1","10","6.7","https://image.tmdb.org/t/p/w400/lSsCxZ1dnjcB4cmXSgMJt5qunOu.jpg"
"https://seriesgraph.com/show/219543-creature-commandos","Creature Commandos","2","7","7.8","https://image.tmdb.org/t/p/w400/bB3G6Ug1jfsOUptb0RJsqrgMVta.jpg"
"https://seriesgraph.com/show/86686-creepshow","Creepshow","4","8","7.0","https://image.tmdb.org/t/p/w400/fassm77VqtSDHv9x17eJ3DkGVml.jpg"
"https://seriesgraph.com/show/122194-csi-vegas","CSI: Vegas","3","21","7.4","https://image.tmdb.org/t/p/w400/8DtOnaOQPiptM9umpV0Xntwv9t3.jpg"
"https://seriesgraph.com/show/105248-cyberpunk-edgerunners","Cyberpunk: Edgerunners","2","10","8.3","https://image.tmdb.org/t/p/w400/lqcDVZ8pyk08AVftMBildDR3QUK.jpg"
"https://seriesgraph.com/show/2309-danny-phantom","Danny Phantom","3","20","7.2","https://image.tmdb.org/t/p/w400/pBUOFBmZLaIxzjDjQP7d3QZrd4w.jpg"
"https://seriesgraph.com/show/2131-daria","Daria","5","14","8.1","https://image.tmdb.org/t/p/w400/w1Z3VI1aunE4yy88USAhGGVdazo.jpg"
"https://seriesgraph.com/show/62425-dark-matter","Dark Matter","3","13","7.5","https://image.tmdb.org/t/p/w400/oWYOFBvIMkW64n51uD4mdje6k2u.jpg"
"https://seriesgraph.com/show/196322-dark-matter","Dark Matter","2","10","7.6","https://image.tmdb.org/t/p/w400/c6MRUtPk0nEPQ9FBD9RdRKt2rIm.jpg"
